Keyboard_player1_help,Choose which physical keyboards should be treated as Player 1 when multiple keyboards are connected. All other keyboards will drive Player 2 using their saved mappings (defaults to WASD/JIKL).,Elige qué teclados físicos deben ser el Jugador 1 cuando haya varios conectados. El resto controlará al Jugador 2 usando sus asignaciones guardadas (por defecto WASD/JIKL).
No keyboards selected,No keyboards selected,No hay teclados seleccionados
No keyboards detected.,No keyboards detected.,No se detectaron teclados.
P1 Keyboards,P1 Keyboards,Teclados de P1
Map,Map,Asignar
Rename,Rename,Renombrar
Ignore,Ignore,Ignorar
Rename keyboard,Rename keyboard,Renombrar teclado
Set a custom name for this keyboard.,Set a custom name for this keyboard.,Define un nombre personalizado para este teclado.
Save,Save,Guardar
Cancel,Cancel,Cancelar
Clear,Clear,Borrar
Configure keyboard mapping,Configure keyboard mapping,Configurar asignación de teclado
Unbound,Unbound,Sin asignar
Press a key...,Press a key...,Pulsa una tecla...
Select game mode:,Select game mode:,Seleccionar Modo de Juego:
Stage,Stage,Stage
Player 1,Player 1,Player 1
Gap:,Gap:,Gap:
Advantage:,Advantage:,Ventaja:
Player 2,Player 2,Player 2
Player 1:,Player 1:,Player 1:
Player 2:,Player 2:,Player 2:
Copy to clipboard,Copy to clipboard,Copiar al portapapeles
Search,Search,Buscar
System_log_copied,"[system] Log has been copied to clipboard
","[system] Log fue copiado al clipboard
"
Reload custom palettes,Reload custom palettes,Actualizar paletas personalizadas
Select character,Select character,Seleccionar Personaje
Select palette,Select palette,Seleccionar Paleta
Select file,Select file,Seleccionar Archivo
Gradient generator,Gradient generator,Generador de Gradiente
Undo,Undo,Deshacer
Redo,Redo,Rehacer
Cannot save with Highlight mode on!,Cannot save with Highlight mode on!,No se puede guardar con modo Highlight prendido!
Save with bloom effect,Save with bloom effect,Guardar con efecto bloom
Bloom effects cannot be changed until a new round is started,Bloom effects cannot be changed until a new round is started,Efectos de Bloom no pueden ser cambiados hasta que empiece un nuevo round
Palette name:,Palette name:,Nombre de Paleta:
Creator (optional):,Creator (optional):,Creador (opcional):
Palette description (optional):,Palette description (optional):,Descripcion (opcional):
Save palette,Save palette,Guardar paleta
"Error, no filename given","Error, no filename given","Error, no se dio nombre de archivo"
"Error, not a valid filename","Error, not a valid filename","Error, el nombre del archivo no es valido"
'%s' saved successfully,'%s' saved successfully,%s' se guardo correctamente
'%s' save failed,'%s' save failed,%s' tuvo un error al guardar
Overwrite_confirmation_prompt,"'%s' already exists.
Are you sure you want to overwrite it?

","%s' ya existe.
Estas seguro que quieres sobreescribirlo?

"
OK,OK,OK
Reset palette,Reset palette,Reiniciar paleta
Out of bounds,Out of bounds,Fuera de limite
ONLINE PALETTE,ONLINE PALETTE,PALETA ONLINE
Creator: %s,Creator: %s,Creador: %s
Description: %s,Description: %s,Descripcion: %s
Has bloom effect,Has bloom effect,Tiene efecto Bloom
Random selection,Random selection,Selección Aleatoria
Start index,Start index,Index de inicio
End index,End index,Index final
Start color,Start color,Color de inicio
End color,End color,Color final
Swap colors,Swap colors,Intercambiar colores
Generate gradient,Generate gradient,Generar gradiente
Refresh,Refresh,Refrescar
Recording side: %c,Recording side: %c,Lado de grabacion: %c
Switch recording side,Switch recording side,Cambiar lado de grabacion
Add/Remove,Add/Remove,Añadir/Remover
Frame,Frame,Frame
Literal,Literal,Literal
Command,Command,Comando
Edit Input,Edit Input,Editar Input
Direction,Direction,Direccion
Bind,Bind,Vincular
Menu action,Menu action,Acción de menú
Battle action,Battle action,Acción en combate
Close,Close,Cerrar
Set all to default,Set all to default,Restablecer todo a los valores predeterminados
Ignored keyboards,Ignored keyboards,Teclados ignorados
No ignored keyboards.,No ignored keyboards.,No hay teclados ignorados.
Unignore,Unignore,Dejar de ignorar
(connected),(connected),(conectado)
(not connected),(not connected),(desconectado)
Mapping for %s,Mapping for %s,Asignación para %s
Test,Test,Probar
Player 1 Controller,Player 1 Controller,Controlador del Jugador 1
Player 2 Controller,Player 2 Controller,Controlador del Jugador 2
Loaded settings.ini values,Loaded settings.ini values,Valores cargados de settings.ini
Current online players:,Current online players:,Jugadores en línea actuales:
<No data>,<No data>,<Sin datos>
Avatar,Avatar,Avatar
Color,Color,Color
Accessory 1,Accessory 1,Accesorio 1
Accessory 2,Accessory 2,Accesorio 2
CONNECT TO NETWORK MODE FIRST,CONNECT TO NETWORK MODE FIRST,CONECTA AL MODO EN LÍNEA PRIMERO
FrameHistory help,"For each non-idle frame, display a column of rectangles with info about it. 
 
For each player : 
 = The first row displays player state. 
 - Startup->green 
 - Active->red 
 - Recovery->blue 
 - Blockstun->yellow 
 - Hitstun->purple 
 - Hard landing recovery->blush 
 - Special: hard to classify states(e.g.dashes)->Aquamarine 

 = Second row is for invul/armor. The position of the line segments indicates the attributes, and its color if invul or armor: 
 - Invul->white 
 - Armor->brown 
 - H->top segment 
 - B->middle segment 
 - F->bottom segment 
 - T->left segment 
 - P->right segment 
","Para cada cuadro no inactivo, muestra una columna de rectángulos con información. 
 
Para cada jugador: 
 = La primera fila muestra el estado del jugador. 
 - Inicio->verde 
 - Activo->rojo 
 - Recuperación->azul 
 - Aturdimiento por bloqueo->amarillo 
 - Aturdimiento por golpe->morado 
 - Recuperación por caída dura->rosa 
 - Especial: estados difíciles de clasificar (p.ej. dashes)->aguamarina 

 = La segunda fila es para invulnerabilidad/armadura. La posición de los segmentos indica los atributos y su color si hay invul o armadura: 
 - Invul->blanco 
 - Armadura->marrón 
 - H->segmento superior 
 - B->segmento medio 
 - F->segmento inferior 
 - T->segmento izquierdo 
 - P->segmento derecho 
"
FrameHistory auto reset help,block auto-reset on an idle frame: Do not overwrite automatically after an idle frame.,Bloquear el reinicio automático en un cuadro inactivo: no sobrescribir automáticamente después de un cuadro inactivo.
Count empty frames##framehistory,Count empty frames##framehistory,Contar frames vacíos##framehistory
FrameHistory count empty frames help,Also record frames where both players are idle. Keeps the counter running during neutral instead of pausing.,También registra frames en los que ambos jugadores están inactivos. Mantiene el contador activo durante el neutral.
Box width,Box width,Ancho de caja
Box height,Box height,Alto de caja
spacing,spacing,Espaciado
Enable##framehistory_section,Enable##framehistory_section,Activar##framehistory_section
Auto Reset##Reset after each idle frame,Auto Reset##Reset after each idle frame,Reinicio automático##Reset after each idle frame
Enable##framedata_section,Enable##framedata_section,Activar##framedata_section
Advantage on stagger hit,Advantage on stagger hit,Ventaja en golpe tambaleante
YOU ARE NOT IN MATCH!,YOU ARE NOT IN MATCH!,¡NO ESTÁS EN UNA PARTIDA!
YOU ARE NOT IN TRAINING MODE OR REPLAY THEATER!,YOU ARE NOT IN TRAINING MODE OR REPLAY THEATER!,¡NO ESTÁS EN ENTRENAMIENTO NI EN REPLAY THEATER!
"YOU ARE NOT IN A MATCH, IN TRAINING MODE OR REPLAY THEATER!","YOU ARE NOT IN A MATCH, IN TRAINING MODE OR REPLAY THEATER!","¡NO ESTÁS EN PARTIDA, ENTRENAMIENTO NI REPLAY THEATER!"
THERE WAS AN ERROR LOADING ONE/BOTH OF THE CHARACTERS,THERE WAS AN ERROR LOADING ONE/BOTH OF THE CHARACTERS,HUBO UN ERROR AL CARGAR UNO O AMBOS PERSONAJES
Palette editor,Palette editor,Editor de paletas
YOU ARE NOT IN MATCH! (Replay),YOU ARE NOT IN MATCH!,¡NO ESTÁS EN UNA PARTIDA!
YOU ARE NOT IN REPLAY MENU!,YOU ARE NOT IN REPLAY MENU!,¡NO ESTÁS EN EL MENÚ DE REPLAY!
YOU ARE NOT IN CHARACTER SELECTION!,YOU ARE NOT IN CHARACTER SELECTION!,¡NO ESTÁS EN LA SELECCIÓN DE PERSONAJE!
Hide HUD,Hide HUD,Ocultar HUD
Toggle Rewind,Toggle Rewind,Alternar rebobinado
Replay Database,Replay Database,Base de datos de repeticiones
Enable/Disable Automatic Replay Uploads?,Enable/Disable Automatic Replay Uploads?,¿Activar/Desactivar las cargas automáticas de repeticiones?
Main window notification format,%s (Press %s to open the main window),%s (Pulsa %s para abrir la ventana principal)
Replay_uploads_description,"IM BOBLEIS can automatically upload your replays to a public central repository.

This feature allows:
- Easy sharing: Facilitates sharing of replays between players.
- Community sharing: Contribute to a collection of matches for learning and analysis.
- Cataloging: Easily search by characters for matchups.
- Storage: Keep your replays backed up automatically after the 100 limit.

You can access the database using the Replay Database button on the IM main menu.

If you disable it your replays won't be uploaded even if matched with someone with it enabled.

If you wish to turn it off/on again you can access this menu using the button on the IM main menu or using settings.ini.

This has no impact on performance or stability.

Would you like to leave automatic replay uploads on or turn it off?","IM BOBLEIS puede subir automáticamente tus repeticiones a un repositorio público central.

Esta función permite:
- Uso compartido sencillo: facilita compartir repeticiones entre jugadores.
- Compartir con la comunidad: contribuye a una colección de partidas para aprender y analizar.
- Catalogación: busca fácilmente por personajes para estudiar emparejamientos.
- Almacenamiento: mantiene tus repeticiones respaldadas automáticamente después del límite de 100.

Puedes acceder a la base de datos mediante el botón Replay Database en el menú principal de IM.

Si la desactivas tus repeticiones no se subirán incluso si juegas contra alguien que la tenga activada.

Si deseas volver a activarla o desactivarla puedes abrir este menú con el botón en el menú principal de IM o con settings.ini.

Esto no tiene impacto en el rendimiento ni en la estabilidad.

¿Quieres dejar activadas las cargas automáticas de repeticiones o desactivarlas?"
Enable/Disable Upload,Enable/Disable Upload,Activar/Desactivar subida
Discord,Discord,Discord
Forum,Forum,Foro
GitHub,GitHub,GitHub
Player1,Player1,Jugador 1
Player2,Player2,Jugador 2
Draw hitbox/hurtbox,Draw hitbox/hurtbox,Dibujar hitbox/hurtbox
Draw origin,Draw origin,Dibujar origen
Draw collision,Draw collision,Dibujar colisión
Draw throw/range boxes,Draw throw/range boxes,Dibujar cajas de agarre/rango
Origin_point_note,"The point in space where your character resides. 
Important!: This is a single point, the render is composed of two lines to facilitate viewing, the actual point is where the two lines touch.","El punto en el espacio donde reside tu personaje. 
Importante: es un único punto; el renderizado muestra dos líneas para facilitar la vista, el punto real está donde se cruzan."
Collision_box_note,Defines collision between objects/characters. Also used for throw range checks.,Define la colisión entre objetos/personajes. También se usa para comprobar el alcance de agarres.
Throw range help,"Throw Range Box(yellow): All throws require the throw range check. In order to pass this check the throw range box must overlap target's  collision box.

Move Range Box(green): All throws and some moves require the move range check. In order to pass this check the move range box must overlap the target's origin point.



How do throws connect?

In order for a throw to connect you must have satisfy the following conditions:
1: Both players must be on the ground or in the air. This is decided by their origin position, not sprite.
2: You must pass the move range check.
3: You must pass the throw range check.
4: The hitbox of the throw must overlap the hurtbox of the target.
5: The target must not be throw immune.
","Caja de rango de agarre (amarillo): todos los agarres requieren superar esta comprobación; la caja debe solaparse con la caja de colisión del objetivo.

Caja de rango de movimiento (verde): todos los agarres y algunos movimientos requieren esta comprobación; la caja debe solaparse con el punto de origen del objetivo.



¿Cómo conecta un agarre?

Para que conecte debes cumplir: 
1: Ambos jugadores en tierra o aire (según su origen, no el sprite).
2: Pasar la comprobación de rango de movimiento.
3: Pasar la comprobación de rango de agarre.
4: La hitbox del agarre debe solapar la hurtbox del objetivo.
5: El objetivo no debe ser inmune a agarres.
"
Freeze frame:,Freeze frame:,Congelar cuadro:
Frame Count,Frame Count,Contador de cuadros
Reset,Reset,Reiniciar
Freeze animation,Freeze animation,Congelar animación
Stop timer,Stop timer,Detener temporizador
Step frames,Step frames,Avanzar cuadros
"YOU ARE NOT IN TRAINING, VERSUS, OR REPLAY!","YOU ARE NOT IN TRAINING, VERSUS, OR REPLAY!","¡NO ESTÁS EN ENTRENAMIENTO, VERSUS O REPLAY!"
Game Mode,Game Mode,Modo de juego
Enable##hitbox_overlay_section,Enable##hitbox_overlay_section,Activar##hitbox_overlay_section
Custom palette reload,Reload all palettes,Recargar todas las paletas
Enable##framehistory_section checkbox,Enable##framehistory_section,Activar
Draw hitbox/hurtbox##hitbox_overlay_section,Draw hitbox/hurtbox,Dibujar hitbox/hurtbox
Draw origin##hitbox_overlay_section,Draw origin,Dibujar origen
Draw collision##hitbox_overlay_section,Draw collision,Dibujar colisión
Step frames##hitbox_overlay_section,Step frames,Avanzar cuadros
Gameplay settings header,Gameplay settings,Opciones de juego
Hide HUD checkbox,Hide HUD,Ocultar HUD
States,States,Estados
Log,Log,Registro
Replay Rewind,Replay Rewind,Rebobinado de repetición
Replay Upload,Replay Upload,Subida de repetición
Enable##framehistory_section label,Enable,Activar
Auto Reset label,Auto Reset,Reinicio automático
FrameHistory width label,Box width,Ancho de caja
FrameHistory height label,Box height,Alto de caja
FrameHistory spacing label,spacing,Espaciado
FrameHistory not enabled message,"YOU ARE NOT IN A MATCH, IN TRAINING MODE OR REPLAY THEATER!","¡NO ESTÁS EN UNA PARTIDA, ENTRENAMIENTO NI REPLAY THEATER!"
FrameHistory character load error,THERE WAS AN ERROR LOADING ONE/BOTH OF THE CHARACTERS,HUBO UN ERROR AL CARGAR UNO O AMBOS PERSONAJES
Language,Language,Idioma
Language incomplete label, (Incomplete), (Incompleto)
Language selection help,Select a language for all UI text. Requires full dictionary coverage.,Selecciona un idioma para todo el texto de la interfaz. Requiere cobertura completa del diccionario.
Active entities: %d,Active entities: %d,Activar entidades: %d
Active entities with unk_status2 = 2: %d,Active entities with unk_status2 = 2: %d,Activar entidades con unk_status2 = 2: %d
Only works during a running replay,Only works during a running replay,Solo funciona durante una replay
Rewind,Rewind,Retroceder
Replay rewind help tooltip,"Replay rewind can currently hold up to 10 ""checkpoints"" at a time to rewind to. These checkpoints are saved as the replay progresses at defined intervals(1s,3s or 9s). With replay interval set to 9s for example you will save checkpoints at second 0,9,18...,90.

You can also change them during the replay itself to refine the rewind, say for example you found something interesting at second 16 while having rewind interval as 9s:

 - Rewind until you reach the checkpoint at second 9
 - Change the rewind interval to 1s or 3s
 - Now as it reaches the desired position it will have recorded the previous checkpoints in smaller intervals, allowing you to wait less to reach the desired part / analyze the lead up to it.

You can see the frames of all saved checkpoints and more advanced info on the ""Saved Checkpoints Advanced Info"" section above.","El rebobinado de la repetición puede almacenar actualmente hasta 10 “checkpoints” al mismo tiempo a los que puedes volver atrás. Estos checkpoints se guardan automáticamente mientras avanza la repetición, en intervalos definidos (1 s, 3 s o 9 s).
Por ejemplo, si el intervalo de repetición está configurado en 9 s, se guardarán checkpoints en los segundos 0, 9, 18…, 90.

También puedes cambiar estos intervalos durante la propia repetición para afinar el rebobinado. Por ejemplo, imagina que encuentras algo interesante en el segundo 16 mientras tienes el intervalo de rebobinado configurado en 9 s:

-Rebobina hasta llegar al checkpoint del segundo 9
-Cambia el intervalo de rebobinado a 1 s o 3 s
-A medida que la repetición avance hasta la posición deseada, se habrán registrado checkpoints previos en intervalos más pequeños, lo que te permitirá esperar menos para llegar a la parte que te interesa o analizar mejor lo que ocurrió antes.

Puedes ver los fotogramas de todos los checkpoints guardados y más información avanzada en la sección “Saved Checkpoints Advanced Info” que aparece arriba."
Rewind Interval,Rewind Interval,Intervalo de Rebobinado
Rewind interval help tooltip,"Defines the interval to save the rewind ""checkpoint"". For more info see the help bar on ""Rewind"" button","Define el intervalo en el que se guarda el “checkpoint” de rebobinado. Para más información, consulta la barra de ayuda del botón “Rewind”."
1s,1s,1s
3s,3s,3s
9s,9s,9s
Saved Checkpoints Adv. Info,Saved Checkpoints Adv. Info,Saved Checkpoints Adv. Info
Rewind pos: +%d,Rewind pos: +%d,Pos de rebobinado: +%d
snap_apparatus snapshot_count: %d,snap_apparatus snapshot_count: %d,snap_apparatus snapshot_count: %d
%d: Framecount:%d,%d: Framecount:%d,%d: Cuenta de Frames:%d
Ranked_search_warning,You cannot use this feature while searching for a ranked match,No puedes utilizar esta funcionalidad mientras buscas una partida
Network Matches,Network Matches,Partidas de red
Ranked Matches,Ranked Matches,Partidas clasificatorias
Show ranked progress,Show ranked progress,Mostrar progreso de rango
"Shows a movable ranked progress window during ranked character select, ranked menu flow, and after a successful ranked LP upload.","Shows a movable ranked progress window during ranked character select, ranked menu flow, and after a successful ranked LP upload.","Muestra una ventana movible de progreso de rango durante la selección de personaje clasificatoria, el flujo de menú clasificatorio y después de una subida exitosa de LP."
Show square color progress,Show square color progress,Mostrar progreso de color de square
Shows a movable network square color progress window while inside network mode.,Shows a movable network square color progress window while inside network mode.,Muestra una ventana movible de progreso de color de square dentro del modo network.
Show ranked prediction,Show ranked prediction,Mostrar predicción de rango
Shows win/loss ranked outcome predictions during ranked match confirmation and ranked rematch screens when opponent rank data is available.,Shows win/loss ranked outcome predictions during ranked match confirmation and ranked rematch screens when opponent rank data is available.,Muestra predicciones de victoria y derrota durante la confirmación y la revancha clasificatoria cuando el rango del rival está disponible.
Ranked ladder,Ranked ladder,Escalera clasificatoria
Ranked ladder###RankedLadder,Ranked ladder###RankedLadder,Escalera clasificatoria###RankedLadder
"Opens the ranked ladder window, including known LP thresholds and population estimates.","Opens the ranked ladder window, including known LP thresholds and population estimates.",Abre la ventana de escalera clasificatoria con umbrales de LP conocidos y estimaciones de población.
Ranked Progress,Ranked Progress,Progreso de rango
Ranked Progress###RankedProgressOverlay,Ranked Progress###RankedProgressOverlay,Progreso de rango###RankedProgressOverlay
Choose a character and open a closable ranked progress window. Right-click the ranked progress window to configure the top label.,Choose a character and open a closable ranked progress window. Right-click the ranked progress window to configure the top label.,Elige un personaje y abre una ventana cerrable de progreso de rango. Haz clic derecho en la ventana de progreso para configurar la etiqueta superior.
How does ranked work?,How does ranked work?,¿Cómo funciona el modo clasificatorio?
"Choose any rank and open an explanation of its LP, promotion, and demotion rules.","Choose any rank and open an explanation of its LP, promotion, and demotion rules.","Elige cualquier rango y abre una explicación de sus reglas de LP, ascenso y descenso."
Select ranked character###RankedProgressCharacterSelector,Select ranked character###RankedProgressCharacterSelector,Seleccionar personaje clasificatorio###RankedProgressCharacterSelector
Ranked Prediction###RankedPredictionOverlay,Ranked Prediction###RankedPredictionOverlay,Predicción de rango###RankedPredictionOverlay
Opponent,Opponent,Rival
Waiting for opponent...,Waiting for opponent...,Esperando rival...
Loading rank...,Loading rank...,Cargando rango...
Rank unavailable,Rank unavailable,Rango no disponible
RANK UP,RANK UP,SUBES DE RANGO
RANK DOWN,RANK DOWN,BAJAS DE RANGO
Nothing.,Nothing.,Nada.
Unknown,Unknown,Desconocido
Current rank data unavailable,Current rank data unavailable,Datos del rango actual no disponibles
Can only rank up against your rank or higher.,Can only rank up against your rank or higher.,Solo puedes subir de rango contra tu mismo rango o superior.
LP Threshold Reached,LP Threshold Reached,Umbral de LP alcanzado
Automatic Promotion Reached,Automatic Promotion Reached,Ascenso automático alcanzado
LP already capped for this opponent.,LP already capped for this opponent.,El LP ya está al máximo para este rival.
LV1-LV10 losses do not change LP.,LV1-LV10 losses do not change LP.,Las derrotas en LV1-LV10 no cambian el LP.
Automatic Demotion Reached,Automatic Demotion Reached,Descenso automático alcanzado
Waiting for ranked opponent data.,Waiting for ranked opponent data.,Esperando datos del rival clasificatorio.
Waiting for character leaderboard lookup.,Waiting for character leaderboard lookup.,Esperando consulta del ranking del personaje.
Opponent character leaderboard entry unavailable.,Opponent character leaderboard entry unavailable.,La entrada del ranking del personaje del rival no está disponible.
Waiting for opponent character data.,Waiting for opponent character data.,Esperando datos del personaje del rival.
Scanning... %d probes fired,Scanning... %d probes fired,Escaneando... %d consultas realizadas
Total ranked players: %u  |  Samples: %u,Total ranked players: %u  |  Samples: %u,Jugadores clasificatorios totales: %u  |  Muestras: %u
Distribution search failed.,Distribution search failed.,Falló la búsqueda de distribución.
Waiting for leaderboard handle...,Waiting for leaderboard handle...,Esperando el identificador de la tabla...
Opening ladder begins scan.,Opening ladder begins scan.,Abrir la escalera inicia el escaneo.
Players,Players,Jugadores
Ignored,Ignored,Ignorado
Loading,Loading,Cargando
No ranked progress data available.,No ranked progress data available.,No hay datos de progreso de rango disponibles.
Show matches,Show matches,Mostrar partidas
Show wins,Show wins,Mostrar victorias
Show losses,Show losses,Mostrar derrotas
Show winrate %,Show winrate %,Mostrar porcentaje de victorias
Show character leaderboard placement,Show character leaderboard placement,Mostrar posición en tabla del personaje
Show global leaderboard placement,Show global leaderboard placement,Mostrar posición en tabla global
Matches,Matches,Partidas
Wins,Wins,Victorias
Losses,Losses,Derrotas
in,in,en
Leaderboard,Leaderboard,Tabla
in Global Leaderboard,in Global Leaderboard,en la tabla global
Demotion %u/%u,Demotion %u/%u,Descenso %u/%u
Promotion %u/%u,Promotion %u/%u,Ascenso %u/%u
How does my rank work?,How does my rank work?,¿Cómo funciona mi rango?
How does my rank work?###RankedRulesDialog,How does my rank work?###RankedRulesDialog,¿Cómo funciona mi rango?###RankedRulesDialog
Check another rank's rules,Check another rank's rules,Ver las reglas de otro rango
Check another rank's rules###RankedRulesSelector,Check another rank's rules###RankedRulesSelector,Ver las reglas de otro rango###RankedRulesSelector
Check a rank's rules###RankedRulesSelector,Check a rank's rules###RankedRulesSelector,Ver reglas de un rango###RankedRulesSelector
Compare this with another rank,Compare this with another rank,Comparar con otro rango
Compare this with another rank###RankedRulesCompareSelector,Compare this with another rank###RankedRulesCompareSelector,Comparar con otro rango###RankedRulesCompareSelector
Rank comparison###RankedRulesComparison,Rank comparison###RankedRulesComparison,Comparación de rangos###RankedRulesComparison
Detected differences,Detected differences,Diferencias detectadas
vs,vs,vs
Show rules,Show rules,Ver reglas
Rank,Rank,Rango
Win,Win,Victoria
Loss,Loss,Derrota
Opponent Rank,Opponent Rank,Rango rival
Your rank rules,Your rank rules,Reglas de tu rango
LP table,LP table,Tabla de LP
ANY RANK,ANY RANK,CUALQUIER RANGO
The same type of rules as this rank apply from %s to %s.,The same type of rules as this rank apply from %s to %s.,El mismo tipo de reglas que este rango aplica desde %s hasta %s.
(resets Demotion Counter),(resets Demotion Counter),(reinicia el contador de descenso)
(resets Promotion Counter),(resets Promotion Counter),(reinicia el contador de ascenso)
LV1-LV10 rules,LV1-LV10 rules,Reglas LV1-LV10
LV11-LV14 rules,LV11-LV14 rules,Reglas LV11-LV14
LV15-LV18 rules,LV15-LV18 rules,Reglas LV15-LV18
LV19-LV23 rules,LV19-LV23 rules,Reglas LV19-LV23
LV24-LV28 rules,LV24-LV28 rules,Reglas LV24-LV28
LV29-LV33 rules,LV29-LV33 rules,Reglas LV29-LV33
LV34 rules,LV34 rules,Reglas LV34
LV35 rules,LV35 rules,Reglas LV35
Leader rules,Leader rules,Reglas Leader
Hero rules,Hero rules,Reglas Hero
Kisshin rules,Kisshin rules,Reglas Kisshin
Hades rules,Hades rules,Reglas Hades
Ruler rules,Ruler rules,Reglas Ruler
"%s - %s","%s - %s","%s - %s"
"%s (%s)","%s (%s)","%s (%s)"
"%+d LP","%+d LP","%+d LP"
" (%+d Promotion Counter)"," (%+d Promotion Counter)"," (%+d Contador de ascenso)"
"%+d LP (%+d Promotion Counter)","%+d LP (%+d Promotion Counter)","%+d LP (%+d Contador de ascenso)"
"%+d LP (+1 Demotion Counter)","%+d LP (+1 Demotion Counter)","%+d LP (+1 Contador de descenso)"
" or higher."," or higher."," o superior."
or higher.,or higher.,o superior.
"If you reach %u LP, you'll rank up to %s.","If you reach %u LP, you'll rank up to %s.","Si llegas a %u LP, subirás a %s."
"At this rank, a win against a lower rank can fill the LP bar, but the rank-up only happens when you beat %s or higher.","At this rank, a win against a lower rank can fill the LP bar, but the rank-up only happens when you beat %s or higher.","En este rango, ganar contra un rango más bajo puede llenar la barra de LP, pero solo subirás si le ganas a %s o superior."
This is the highest rank covered by the current known rules.,This is the highest rank covered by the current known rules.,Este es el rango más alto cubierto por las reglas conocidas actuales.
"If you fall to %u LP, you'll rank down to %s.","If you fall to %u LP, you'll rank down to %s.","Si bajas a %u LP, descenderás a %s."
LP losses do not directly rank you down in this rank.,LP losses do not directly rank you down in this rank.,Las derrotas de LP no te hacen descender directamente en este rango.
+1 Demotion Counter,+1 Demotion Counter,+1 Contador de descenso
"If you lose against anyone in this range (%s), you'll get +1 Demotion Counter. At %d, you'll rank down to %s.","If you lose against anyone in this range (%s), you'll get +1 Demotion Counter. At %d, you'll rank down to %s.","Si pierdes contra alguien en este rango (%s), recibirás +1 Contador de descenso. Al llegar a %d, descenderás a %s."
This rank does not use a demotion counter.,This rank does not use a demotion counter.,Este rango no usa contador de descenso.
Demotion Counter,Demotion Counter,Contador de descenso
Promotion Counter,Promotion Counter,Contador de ascenso
"If you win against anyone in this range (%s), you'll add points to your Promotion Counter.","If you win against anyone in this range (%s), you'll add points to your Promotion Counter.","Si ganas contra alguien en este rango (%s), sumarás puntos a tu Contador de ascenso."
"If your Promotion Counter reaches %d before the LP bar fills, you'll rank up to %s.","If your Promotion Counter reaches %d before the LP bar fills, you'll rank up to %s.","Si tu Contador de ascenso llega a %d antes de llenar la barra de LP, subirás a %s."
This rank does not use a promotion counter.,This rank does not use a promotion counter.,Este rango no usa contador de ascenso.
This table shows what the game predicts from one match at this rank. Counter notes only appear when that counter can move.,This table shows what the game predicts from one match at this rank. Counter notes only appear when that counter can move.,Esta tabla muestra lo que el juego predice para una partida en este rango. Las notas de contador solo aparecen cuando ese contador puede cambiar.
